AFFYMETRIX_3PRIME_IVT_ID	Gene Name	Species	BBID	GOTERM_CC_FAT	BIOCARTA	GOTERM_MF_FAT	SMART	COG_ONTOLOGY	SP_PIR_KEYWORDS	KEGG_PATHWAY	INTERPRO	UP_SEQ_FEATURE	OMIM_DISEASE	GOTERM_BP_FAT	PIR_SUPERFAMILY
40271_at	nucleoporin 93kDa	Homo sapiens		GO:0005635~nuclear envelope,GO:0005643~nuclear pore,GO:0012505~endomembrane system,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,GO:0031967~organelle envelope,GO:0031975~envelope,GO:0046930~pore complex,					acetylation,complete proteome,mRNA transport,nuclear pore complex,nucleus,phosphoprotein,polymorphism,protein transport,translocation,transport,		IPR007231:Nucleoporin interacting component Nup93/Nic96,	chain:Nuclear pore complex protein Nup93,modified residue,sequence variant,		GO:0006403~RNA localization,GO:0008104~protein localization,GO:0015031~protein transport,GO:0015931~nucleobase, nucleoside, nucleotide and nucleic acid transport,GO:0045184~establishment of protein localization,GO:0050657~nucleic acid transport,GO:0050658~RNA transport,GO:0051028~mRNA transport,GO:0051236~establishment of RNA localization,GO:0055085~transmembrane transport,	
34539_at	olfactory receptor, family 7, subfamily E, member 35 pseudogene	Homo sapiens		GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,		GO:0004984~olfactory receptor activity,			receptor,		IPR000276:7TM GPCR, rhodopsin-like,IPR000725:Olfactory receptor,IPR017452:GPCR, rhodopsin-like superfamily,			GO:0007166~cell surface receptor linked signal transduction,GO:0007186~G-protein coupled receptor protein signaling pathway,	
35903_at	oligodendrocyte myelin glycoprotein	Homo sapiens		GO:0005886~plasma membrane,GO:0031224~intrinsic to membrane,GO:0031225~anchored to membrane,			SM00013:LRRNT,SM00369:LRR_TYP,	Function unknown,	blocked carboxyl end,cell adhesion,cell membrane,complete proteome,direct protein sequencing,glycoprotein,gpi-anchor,leucine-rich repeat,lipoprotein,membrane,phosphatidylinositol linkage,phosphoprotein,polymorphism,repeat,signal,tandem repeat,		IPR000372:Leucine-rich repeat, cysteine-rich flanking region, N-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,	chain:Oligodendrocyte-myelin glycoprotein,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:GPI-anchor amidated serine,propeptide:Removed in mature form,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8; truncated,repeat:Ser/Thr-rich,sequence variant,signal peptide,		GO:0007155~cell adhesion,GO:0010721~negative regulation of cell development,GO:0010769~regulation of cell morphogenesis involved in differentiation,GO:0010975~regulation of neuron projection development,GO:0022604~regulation of cell morphogenesis,GO:0022610~biological adhesion,GO:0031344~regulation of cell projection organization,GO:0031345~negative regulation of cell projection organization,GO:0045596~negative regulation of cell differentiation,GO:0045664~regulation of neuron differentiation,GO:0050767~regulation of neurogenesis,GO:0050768~negative regulation of neurogenesis,GO:0050770~regulation of axonogenesis,GO:0050771~negative regulation of axonogenesis,GO:0051129~negative regulation of cellular component organization,GO:0051960~regulation of nervous system development,GO:0060284~regulation of cell development,	
36696_at	phosphatidylinositol glycan anchor biosynthesis, class C	Homo sapiens		GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0012505~endomembrane system,GO:0016021~integral to membrane,GO:0031090~organelle membrane,GO:0031224~intrinsic to membrane,GO:0042175~nuclear envelope-endoplasmic reticulum network,GO:0044432~endoplasmic reticulum part,		GO:0008375~acetylglucosaminyltransferase activity,GO:0017176~phosphatidylinositol N-acetylglucosaminyltransferase activity,			complete proteome,endoplasmic reticulum,glycosyltransferase,gpi-anchor biosynthesis,membrane,polymorphism,transferase,transmembrane,	hsa00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,	IPR009450:Phosphatidylinositol N-acetylglucosaminyltransferase,	chain:Phosphatidylinositol N- acetylglucosaminyltransferase subunit C,sequence variant,transmembrane region,		GO:0006497~protein amino acid lipidation,GO:0006505~GPI anchor metabolic process,GO:0006506~GPI anchor biosynthetic process,GO:0006644~phospholipid metabolic process,GO:0006650~glycerophospholipid metabolic process,GO:0008610~lipid biosynthetic process,GO:0008654~phospholipid biosynthetic process,GO:0016254~preassembly of GPI anchor in ER membrane,GO:0019637~organophosphate metabolic process,GO:0030384~phosphoinositide metabolic process,GO:0042157~lipoprotein metabolic process,GO:0042158~lipoprotein biosynthetic process,GO:0045017~glycerolipid biosynthetic process,GO:0046474~glycerophospholipid biosynthetic process,GO:0046486~glycerolipid metabolic process,GO:0046489~phosphoinositide biosynthetic process,	PIRSF016104:GPI2,
32418_at	phosphodiesterase 1C, calmodulin-dependent 70kDa	Homo sapiens		GO:0005829~cytosol,		GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0004112~cyclic-nucleotide phosphodiesterase activity,GO:0004114~3',5'-cyclic-nucleotide phosphodiesterase activity,GO:0004117~calmodulin-dependent cyclic-nucleotide phosphodiesterase activity,GO:0005516~calmodulin binding,GO:0008081~phosphoric diester hydrolase activity,GO:0016208~AMP binding,GO:0017076~purine nucleotide binding,GO:0030551~cyclic nucleotide binding,GO:0030552~cAMP binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,	SM00471:HDc,		3d-structure,alternative splicing,calmodulin-binding,camp,cGMP,complete proteome,hydrolase,metal-binding,phosphoprotein,	hsa00230:Purine metabolism,hsa04020:Calcium signaling pathway,hsa04740:Olfactory transduction,	IPR002073:3'5'-cyclic nucleotide phosphodiesterase,IPR003607:Metal-dependent phosphohydrolase, HD region,IPR013706:3'5'-cyclic nucleotide phosphodiesterase N-terminal,	active site:Proton donor,chain:Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C,helix,metal ion-binding site:Divalent metal cation 1,metal ion-binding site:Divalent metal cation 2,modified residue,region of interest:Catalytic,splice variant,strand,turn,		GO:0007600~sensory perception,GO:0007606~sensory perception of chemical stimulus,GO:0007608~sensory perception of smell,GO:0050877~neurological system process,GO:0050890~cognition,	
35373_at	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	Homo sapiens	104.Insulin_signaling,105.Signaling_glucose_uptake,106.Glycogen_synthase-synthesis,107.mRNA_translation-protein_synthesis,2.Cytokine_Receptors,37.Akt-PKB_Effector_of_P13K_in_Vivo,63.LAT_couples_T-cell_receptor,	GO:0005829~cytosol,GO:0005942~phosphoinositide 3-kinase complex,GO:0005943~1-phosphatidylinositol-4-phosphate 3-kinase, class IA complex,GO:0044445~cytosolic part,	h_aktPathway:AKT Signaling Pathway,h_cdc42racPathway:Role of PI3K subunit p85 in regulation of Actin Organization and Cell Migration,h_crebPathway:Transcription factor CREB and its extracellular signals,h_ctla4Pathway:The Co-Stimulatory Signal During T-cell Activation,h_cxcr4Pathway:CXCR4 Signaling Pathway,h_egfPathway:EGF Signaling Pathway,h_eif4Pathway:Regulation of eIF4e and p70 S6 Kinase,h_gsk3Pathway:Inactivation of Gsk3 by AKT causes accumulation of b-catenin in Alveolar Macrophages,h_igf1mtorpathway:Skeletal muscle hypertrophy is regulated via AKT/mTOR pathway,h_igf1rPathway:Multiple antiapoptotic pathways from IGF-1R signaling lead to BAD phosphorylation,h_mTORPathway:mTOR Signaling Pathway,h_nkcellsPathway:Ras-Independent pathway in NK cell-mediated cytotoxicity,h_ptenPathway:PTEN dependent cell cycle arrest and apoptosis,h_RacCycDPathway:Influence of Ras and Rho proteins on G1 to S Transition,h_trkaPathway:Trka Receptor Signaling Pathway,	GO:0005158~insulin receptor binding,GO:0005159~insulin-like growth factor receptor binding,GO:0005543~phospholipid binding,GO:0005545~phosphatidylinositol binding,GO:0008289~lipid binding,GO:0017046~peptide hormone binding,GO:0019207~kinase regulator activity,GO:0019899~enzyme binding,GO:0019902~phosphatase binding,GO:0019903~protein phosphatase binding,GO:0032403~protein complex binding,GO:0035014~phosphoinositide 3-kinase regulator activity,GO:0035091~phosphoinositide binding,GO:0042277~peptide binding,GO:0042562~hormone binding,GO:0043125~ErbB-3 class receptor binding,GO:0043559~insulin binding,GO:0043560~insulin receptor substrate binding,	SM00252:SH2,SM00324:RhoGAP,SM00326:SH3,	Cell division and chromosome partitioning,	3d-structure,acetylation,alternative splicing,complete proteome,disease mutation,host-virus interaction,phosphoprotein,phosphotransferase,polymorphism,repeat,SH2 domain,sh3 domain,ubl conjugation,	hsa04012:ErbB signaling pathway,hsa04062:Chemokine signaling pathway,hsa04070:Phosphatidylinositol signaling system,hsa04150:mTOR signaling pathway,hsa04210:Apoptosis,hsa04370:VEGF signaling pathway,hsa04510:Focal adhesion,hsa04620:Toll-like receptor signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04650:Natural killer cell mediated cytotoxicity,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa04670:Leukocyte transendothelial migration,hsa04722:Neurotrophin signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa04910:Insulin signaling pathway,hsa04914:Progesterone-mediated oocyte maturation,hsa04930:Type II diabetes mellitus,hsa04960:Aldosterone-regulated sodium reabsorption,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,hsa05211:Renal cell carcinoma,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05220:Chronic myeloid leukemia,hsa05221:Acute myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,	IPR000198:RhoGAP,IPR000980:SH2 motif,IPR001452:Src homology-3 domain,IPR001720:PI3 kinase, P85 regulatory subunit,	chain:Phosphatidylinositol 3-kinase regulatory subunit alpha,domain:Rho-GAP,domain:SH2 1,domain:SH2 2,domain:SH3,helix,modified residue,sequence conflict,sequence variant,splice variant,strand,turn,		GO:0001775~cell activation,GO:0001952~regulation of cell-matrix adhesion,GO:0001953~negative regulation of cell-matrix adhesion,GO:0002520~immune system development,GO:0002521~leukocyte differentiation,GO:0006644~phospholipid metabolic process,GO:0006650~glycerophospholipid metabolic process,GO:0006793~phosphorus metabolic process,GO:0006796~phosphate metabolic process,GO:0007162~negative regulation of cell adhesion,GO:0007166~cell surface receptor linked signal transduction,GO:0007167~enzyme linked receptor protein signaling pathway,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007242~intracellular signaling cascade,GO:0007243~protein kinase cascade,GO:0008286~insulin receptor signaling pathway,GO:0009719~response to endogenous stimulus,GO:0009725~response to hormone stimulus,GO:0010033~response to organic substance,GO:0010810~regulation of cell-substrate adhesion,GO:0010812~negative regulation of cell-substrate adhesion,GO:0010827~regulation of glucose transport,GO:0010828~positive regulation of glucose transport,GO:0014065~phosphoinositide 3-kinase cascade,GO:0016310~phosphorylation,GO:0019637~organophosphate metabolic process,GO:0030097~hemopoiesis,GO:0030098~lymphocyte differentiation,GO:0030155~regulation of cell adhesion,GO:0030183~B cell differentiation,GO:0030258~lipid modification,GO:0030334~regulation of cell migration,GO:0030335~positive regulation of cell migration,GO:0030384~phosphoinositide metabolic process,GO:0032868~response to insulin stimulus,GO:0032869~cellular response to insulin stimulus,GO:0032870~cellular response to hormone stimulus,GO:0032880~regulation of protein localization,GO:0040012~regulation of locomotion,GO:0040017~positive regulation of locomotion,GO:0042113~B cell activation,GO:0043434~response to peptide hormone stimulus,GO:0045321~leukocyte activation,GO:0046324~regulation of glucose import,GO:0046326~positive regulation of glucose import,GO:0046486~glycerolipid metabolic process,GO:0046649~lymphocyte activation,GO:0046834~lipid phosphorylation,GO:0046854~phosphoinositide phosphorylation,GO:0048009~insulin-like growth factor receptor signaling pathway,GO:0048534~hemopoietic or lymphoid organ development,GO:0051050~positive regulation of transport,GO:0051130~positive regulation of cellular component organization,GO:0051270~regulation of cell motion,GO:0051272~positive regulation of cell motion,GO:0060396~growth hormone receptor signaling pathway,GO:0060416~response to growth hormone stimulus,GO:0070201~regulation of establishment of protein localization,GO:0090003~regulation of establishment of protein localization to plasma membrane,GO:0090004~positive regulation of establishment of protein localization to plasma membrane,	PIRSF038271:phosphatidylinositol 3-kinase, regulatory subunit, p85 type,
40959_at	pleckstrin homology domain containing, family G (with RhoGef domain) member 3	Homo sapiens				GO:0005083~small GTPase regulator activity,GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005089~Rho guanyl-nucleotide exchange factor activity,GO:0030695~GTPase regulator activity,GO:0060589~nucleoside-triphosphatase regulator activity,	SM00233:PH,SM00325:RhoGEF,		alternative splicing,complete proteome,phosphoprotein,polymorphism,		IPR000219:Dbl homology (DH) domain,IPR001331:Guanine-nucleotide dissociation stimulator, CDC24, conserved site,IPR001849:Pleckstrin homology,IPR011993:Pleckstrin homology-type,	chain:Pleckstrin homology domain-containing family G member 3,compositionally biased region:Poly-Glu,compositionally biased region:Ser-rich,domain:DH,domain:PH,modified residue,sequence conflict,sequence variant,splice variant,		GO:0035023~regulation of Rho protein signal transduction,GO:0046578~regulation of Ras protein signal transduction,GO:0051056~regulation of small GTPase mediated signal transduction,	
35956_s_at	pregnancy specific beta-1-glycoprotein 7; pregnancy specific beta-1-glycoprotein 8; pregnancy specific beta-1-glycoprotein 4	Homo sapiens		GO:0005576~extracellular region,GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,			SM00408:IGc2,SM00409:IG,		alternative splicing,complete proteome,disulfide bond,duplication,glycoprotein,Immunoglobulin domain,plasma,polymorphism,Pregnancy,repeat,Secreted,signal,tandem repeat,		IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like,IPR013106:Immunoglobulin V-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,	chain:Pregnancy-specific beta-1-glycoprotein 4,chain:Pregnancy-specific beta-1-glycoprotein 8,chain:Putative pregnancy-specific beta-1- glycoprotein 7,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like V-type,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,splice variant,		GO:0006952~defense response,GO:0007565~female pregnancy,	
38948_at	protein phosphatase 1, regulatory (inhibitor) subunit 3D	Homo sapiens				GO:0004721~phosphoprotein phosphatase activity,GO:0004722~protein serine/threonine phosphatase activity,GO:0016791~phosphatase activity,			carbohydrate metabolism,complete proteome,glycogen metabolism,phosphoprotein,	hsa04910:Insulin signaling pathway,	IPR005036:Putative phosphatase regulatory subunit,IPR017434:Protein phosphatase 1, glycogen targeting subunit, Metazoa.,	chain:Protein phosphatase 1 regulatory subunit 3D,domain:CBM21,modified residue,short sequence motif:PP1-binding motif,		GO:0005976~polysaccharide metabolic process,GO:0005977~glycogen metabolic process,GO:0005996~monosaccharide metabolic process,GO:0006006~glucose metabolic process,GO:0006073~cellular glucan metabolic process,GO:0006091~generation of precursor metabolites and energy,GO:0006112~energy reserve metabolic process,GO:0015980~energy derivation by oxidation of organic compounds,GO:0019318~hexose metabolic process,GO:0044042~glucan metabolic process,GO:0044264~cellular polysaccharide metabolic process,	PIRSF038207:PP1_GT_animal,PIRSF038207:protein phosphatase 1, glycogen targeting subunit, animal type,
38646_s_at	regenerating islet-derived 1 alpha; regenerating islet-derived 1 pseudogene	Homo sapiens				GO:0005529~sugar binding,GO:0008083~growth factor activity,GO:0030246~carbohydrate binding,	SM00034:CLECT,		3d-structure,alzheimer disease,complete proteome,direct protein sequencing,disulfide bond,down syndrome,glycoprotein,Lectin,pancreas,pyroglutamic acid,Pyrrolidone carboxylic acid,signal,		IPR001304:C-type lectin,IPR003990:Pancreatitis-associated protein,IPR016186:C-type lectin-like,IPR018378:C-type lectin, conserved site,	chain:Lithostathine-1-alpha,disulfide bond,domain:C-type lectin,glycosylation site:O-linked (GlcNAc...),helix,modified residue,sequence conflict,signal peptide,strand,		GO:0008284~positive regulation of cell proliferation,GO:0042127~regulation of cell proliferation,	PIRSF002422:tetranectin,
36766_at	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	Homo sapiens		GO:0000323~lytic vacuole,GO:0005576~extracellular region,GO:0005764~lysosome,GO:0005773~vacuole,		GO:0004518~nuclease activity,GO:0004519~endonuclease activity,GO:0004521~endoribonuclease activity,GO:0004522~pancreatic ribonuclease activity,GO:0004540~ribonuclease activity,GO:0016892~endoribonuclease activity, producing 3'-phosphomonoesters,GO:0016894~endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters,	SM00092:RNAse_Pc,		3d-structure,chemotaxis,complete proteome,direct protein sequencing,disulfide bond,Endonuclease,glycoprotein,hydrolase,lysosome,neurotoxin,nitration,nuclease,polymorphism,signal,		IPR001427:Pancreatic ribonuclease,	active site:Proton acceptor,active site:Proton donor,chain:Non-secretory ribonuclease,disulfide bond,glycosylation site:C-linked (Man),glycosylation site:N-linked (GlcNAc...),helix,modified residue,region of interest:Substrate binding,sequence conflict,sequence variant,signal peptide,strand,turn,		GO:0006401~RNA catabolic process,GO:0006935~chemotaxis,GO:0007610~behavior,GO:0007626~locomotory behavior,GO:0009057~macromolecule catabolic process,GO:0042330~taxis,GO:0044265~cellular macromolecule catabolic process,	PIRSF001015:pyrimidine-specific ribonuclease/angiogenin,
33979_at	ribonuclease, RNase A family, 3 (eosinophil cationic protein)	Homo sapiens		GO:0000267~cell fraction,GO:0005576~extracellular region,GO:0005625~soluble fraction,		GO:0004518~nuclease activity,GO:0004519~endonuclease activity,GO:0004521~endoribonuclease activity,GO:0004522~pancreatic ribonuclease activity,GO:0004540~ribonuclease activity,GO:0016892~endoribonuclease activity, producing 3'-phosphomonoesters,GO:0016894~endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters,	SM00092:RNAse_Pc,		3d-structure,antibiotic,Antimicrobial,complete proteome,direct protein sequencing,disulfide bond,Endonuclease,glycoprotein,hydrolase,nitration,nuclease,polymorphism,signal,	hsa05310:Asthma,	IPR001427:Pancreatic ribonuclease,	active site:Proton acceptor,active site:Proton donor,chain:Eosinophil cationic protein,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,modified residue,region of interest:Substrate binding,sequence variant,signal peptide,strand,		GO:0006401~RNA catabolic process,GO:0006952~defense response,GO:0009057~macromolecule catabolic process,GO:0009617~response to bacterium,GO:0042742~defense response to bacterium,GO:0044265~cellular macromolecule catabolic process,	
39187_at	runt-related transcription factor 2	Homo sapiens		GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0031974~membrane-enclosed lumen,GO:0031981~nuclear lumen,GO:0043233~organelle lumen,GO:0044451~nucleoplasm part,GO:0070013~intracellular organelle lumen,		GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity,GO:0003702~RNA polymerase II transcription factor activity,GO:0005524~ATP binding,GO:0016563~transcription activator activity,GO:0017076~purine nucleotide binding,GO:0030528~transcription regulator activity,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,			alternative splicing,complete proteome,disease mutation,dna-binding,nucleus,phosphoprotein,polymorphism,Transcription,transcription regulation,		IPR000040:Acute myeloid leukemia 1 protein (AML 1)/Runt,IPR012346:p53 and RUNT-type transcription factor, DNA-binding,IPR013524:Acute myeloid leukemia 1 (AML 1)/Runt,IPR013711:Runx inhibition,IPR016554:Transcription factor, Runt-related, RUNX,	chain:Runt-related transcription factor 2,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Gln,compositionally biased region:Pro/Ser/Thr-rich,domain:Runt,region of interest:Interaction with MYST3,region of interest:Interaction with MYST4,sequence conflict,sequence variant,splice variant,	Cleidocranial dysplasia,Dental anomalies, isolated,Many sequence variants affecting diversity of adult human height,	GO:0001501~skeletal system development,GO:0001503~ossification,GO:0001649~osteoblast differentiation,GO:0001958~endochondral ossification,GO:0002051~osteoblast fate commitment,GO:0002062~chondrocyte differentiation,GO:0002063~chondrocyte development,GO:0006350~transcription,GO:0006355~regulation of transcription, DNA-dependent,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0008284~positive regulation of cell proliferation,GO:0008589~regulation of smoothened signaling pathway,GO:0009890~negative regulation of biosynthetic process,GO:0009891~positive regulation of biosynthetic process,GO:0009968~negative regulation of signal transduction,GO:0010557~positive regulation of macromolecule biosynthetic process,GO:0010558~negative regulation of macromolecule biosynthetic process,GO:0010604~positive regulation of macromolecule metabolic process,GO:0010605~negative regulation of macromolecule metabolic process,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010648~negative regulation of cell communication,GO:0016481~negative regulation of transcription,GO:0021700~developmental maturation,GO:0030278~regulation of ossification,GO:0031327~negative regulation of cellular biosynthetic process,GO:0031328~positive regulation of cellular biosynthetic process,GO:0032330~regulation of chondrocyte differentiation,GO:0032332~positive regulation of chondrocyte differentiation,GO:0040036~regulation of fibroblast growth factor receptor signaling pathway,GO:0042127~regulation of cell proliferation,GO:0042481~regulation of odontogenesis,GO:0042487~regulation of odontogenesis of dentine-containing tooth,GO:0045165~cell fate commitment,GO:0045449~regulation of transcription,GO:0045597~positive regulation of cell differentiation,GO:0045667~regulation of osteoblast differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045778~positive regulation of ossification,GO:0045879~negative regulation of smoothened signaling pathway,GO:0045893~positive regulation of transcription, DNA-dependent,GO:0045934~negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,GO:0045941~positive regulation of transcription,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048469~cell maturation,GO:0048705~skeletal system morphogenesis,GO:0051094~positive regulation of developmental process,GO:0051172~negative regulation of nitrogen compound metabolic process,GO:0051173~positive regulation of nitrogen compound metabolic process,GO:0051216~cartilage development,GO:0051252~regulation of RNA metabolic process,GO:0051254~positive regulation of RNA metabolic process,GO:0060348~bone development,GO:0060349~bone morphogenesis,GO:0060350~endochondral bone morphogenesis,	PIRSF009374:runt-related transcription factor RUNX,PIRSF009374:TF_Runt-rel_RUNX,
36328_at	sex hormone-binding globulin	Homo sapiens		GO:0005576~extracellular region,		GO:0005496~steroid binding,GO:0005497~androgen binding,GO:0008289~lipid binding,GO:0042562~hormone binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0046983~protein dimerization activity,	SM00282:LamG,		3d-structure,alternative splicing,complete proteome,direct protein sequencing,disulfide bond,glycoprotein,homodimer,lipid-binding,plasma,polymorphism,repeat,Secreted,signal,steroid binding,steroid-binding,		IPR001791:Laminin G,IPR012679:Laminin G, subdomain 1,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,	chain:Sex hormone-binding globulin,disulfide bond,domain:Laminin G-like 1,domain:Laminin G-like 2,glycosylation site:N-linked (GlcNAc...),glycosylation site:N-linked (GlcNAc...); when associated with variant N-356,glycosylation site:O-linked (GalNAc...),helix,sequence conflict,sequence variant,signal peptide,splice variant,strand,turn,	A Genome-Wide Association Study Identifies Protein Quantitative Trait Loci (pQTLs),	GO:0003006~reproductive developmental process,GO:0007276~gamete generation,GO:0007283~spermatogenesis,GO:0007285~primary spermatocyte growth,GO:0008361~regulation of cell size,GO:0009914~hormone transport,GO:0010817~regulation of hormone levels,GO:0016049~cell growth,GO:0019953~sexual reproduction,GO:0032504~multicellular organism reproduction,GO:0032535~regulation of cellular component size,GO:0040007~growth,GO:0048232~male gamete generation,GO:0048588~developmental cell growth,GO:0048589~developmental growth,GO:0048609~reproductive process in a multicellular organism,GO:0048610~reproductive cellular process,	PIRSF002538:sex steroid-binding protein,
33077_at	sidekick homolog 1, cell adhesion molecule (chicken); hypothetical LOC730351	Homo sapiens		GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,			SM00060:FN3,SM00408:IGc2,SM00409:IG,		alternative splicing,cell adhesion,complete proteome,disulfide bond,glycoprotein,Immunoglobulin domain,membrane,polymorphism,repeat,signal,transmembrane,		IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR003962:Fibronectin, type III subdomain,IPR007110:Immunoglobulin-like,IPR008957:Fibronectin, type III-like fold,IPR013098:Immunoglobulin I-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,	chain:Protein sidekick-1,compositionally biased region:Pro-rich,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 10,domain:Fibronectin type-III 11,domain:Fibronectin type-III 12,domain:Fibronectin type-III 13,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Fibronectin type-III 5,domain:Fibronectin type-III 6,domain:Fibronectin type-III 7,domain:Fibronectin type-III 8,domain:Fibronectin type-III 9,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,domain:Ig-like C2-type 5,domain:Ig-like C2-type 6,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,		GO:0007155~cell adhesion,GO:0022610~biological adhesion,	
39511_at	similar to Afadin (Protein AF-6); myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	Homo sapiens		GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0005912~adherens junction,GO:0030054~cell junction,GO:0044459~plasma membrane part,GO:0070161~anchoring junction,		GO:0008022~protein C-terminus binding,	SM00228:PDZ,SM00240:FHA,SM00314:RA,		3d-structure,alternative splicing,cell adhesion,cell junction,chromosomal rearrangement,coiled coil,complete proteome,phosphoprotein,Proto-oncogene,repeat,	hsa04520:Adherens junction,hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,	IPR000159:Ras-association,IPR000253:Forkhead-associated,IPR001478:PDZ/DHR/GLGF,IPR002710:Dilute,IPR018444:Dil domain,	chain:Afadin,compositionally biased region:Asp/Glu-rich (acidic),compositionally biased region:Glu/Lys-rich,compositionally biased region:Pro-rich,domain:Dilute,domain:FHA,domain:PDZ,domain:Ras-associating 1,domain:Ras-associating 2,helix,modified residue,sequence conflict,site:Breakpoint for translocation to form MLL- MLLT4,splice variant,strand,		GO:0007155~cell adhesion,GO:0007267~cell-cell signaling,GO:0022610~biological adhesion,	
